time,true_air,est,door,compressor,filtered_temp,food_proxy,true_food,target
66,2.62026,22174.1,1,0,2.20197,0.0064108,2.00037,4
67,2.69441,22175.3,1,0,2.28132,0.00654041,2.00041,4
68,2.76828,22176.3,1,0,2.45337,0.00669716,2.00044,4
69,2.84187,22177,1,0,2.57134,0.00684899,2.00048,4
70,2.91517,22177.7,1,0,2.68538,0.00700572,2.00053,4
71,2.9882,22178.1,1,0,2.75696,0.00715754,2.00057,4
72,3.06095,22178.5,1,0,2.83387,0.00731426,2.00062,4
73,3.13341,22178.7,1,0,2.87575,0.00746605,2.00068,4
74,3.2056,22178.8,1,0,3.00721,0.00764233,2.00074,4
75,3.27752,22178.8,1,0,3.0095,0.00779288,2.0008,4
76,3.34916,22178.7,1,0,3.12397,0.00797158,2.00087,4
77,3.42052,22178.6,1,0,3.21554,0.00815028,2.00093,4
78,3.49162,22178.3,1,0,3.2888,0.00832896,2.00101,4
79,3.56244,22178,1,0,3.3474,0.00850764,2.00108,4
80,3.63299,22177.6,1,0,3.39429,0.0086863,2.00116,4
81,3.63484,21219.2,0,0,3.44641,0.00886861,2.00124,4
82,3.63669,20357.3,0,0,3.4881,0.00905091,2.00133,4
83,3.63855,19582.3,0,0,3.52146,0.0092332,2.00141,4
84,3.6404,18885.5,0,0,3.54814,0.00941549,2.00149,4
85,3.64225,18259.1,0,0,3.57436,0.00959898,2.00157,4
86,3.6441,17696,0,0,3.6002,0.00978367,2.00165,4
87,3.64594,17190,0,0,3.67908,0.00998291,2.00174,4
88,3.64779,16735.2,0,0,3.74219,0.0101821,2.00182,4
89,3.64964,16326.5,0,0,3.73446,0.0103668,2.0019,4
90,3.65148,15959.5,0,0,3.62079,0.0105246,2.00198,4
91,3.65332,15629.8,0,0,3.52985,0.0106824,2.00207,4
92,3.65516,15333.8,0,0,3.4571,0.0108402,2.00215,4
93,3.65701,15068.2,0,0,3.45277,0.0110114,2.00223,4
94,3.65885,14829.7,0,0,3.49319,0.0111936,2.00231,4
95,3.66068,14615.8,0,0,3.56926,0.0113867,2.0024,4
96,3.66252,14424,0,0,3.64465,0.0115834,2.00248,4
97,3.66436,14252,0,0,3.70496,0.0117802,2.00256,4
98,3.66619,14097.9,0,0,3.73867,0.0119733,2.00265,4
99,3.66803,13959.9,0,0,3.78018,0.01217,2.00273,4
100,3.66986,13836.4,0,0,3.81338,0.0123667,2.00281,4
101,3.67169,13725.9,0,0,3.78655,0.01255,2.0029,4
102,3.67353,13627.1,0,0,3.85234,0.0127552,2.00298,4
103,3.67536,13538.9,0,0,3.90497,0.0129603,2.00306,4
104,3.67718,13460.2,0,0,3.89383,0.0131521,2.00315,4
105,3.67901,13390,0,0,3.85091,0.0133354,2.00323,4
106,3.68084,13327.5,0,0,3.85058,0.0135272,2.00331,4
107,3.68266,13272,0,0,3.80657,0.0137081,2.0034,4
108,3.68449,13222.7,0,0,3.77137,0.0138889,2.00348,4
109,3.68631,13179,0,0,3.7432,0.0140697,2.00357,4
110,3.68814,13140.3,0,0,3.63759,0.0142298,2.00365,4
111,3.68996,13106.2,0,0,3.55311,0.0143898,2.00373,4
112,3.69178,13076.2,0,0,3.49533,0.0145523,2.00382,4
113,3.6936,13049.9,0,0,3.4491,0.0147148,2.0039,4
114,3.69541,13026.9,0,0,3.41212,0.0148773,2.00399,4
115,3.69723,13006.9,0,0,3.38253,0.0150397,2.00407,4
116,3.69905,12989.6,0,0,3.37355,0.0152059,2.00416,4
117,3.70086,12974.7,0,0,3.36637,0.015372,2.00424,4
118,3.70267,12962,0,0,3.28205,0.0155185,2.00433,4
119,3.70449,12951.2,0,0,3.24904,0.0156735,2.00441,4
120,3.7063,12942.2,0,0,3.26676,0.0158396,2.0045,4
121,3.70811,12934.8,0,0,3.3005,0.0160106,2.00458,4
122,3.70992,12928.8,0,0,3.40054,0.0161999,2.00467,4
123,3.71173,12924,0,0,3.49999,0.0163939,2.00475,4
124,3.71353,12920.4,0,0,3.57954,0.016588,2.00484,4
125,3.71534,12917.8,0,0,3.64318,0.0167821,2.00492,4
126,3.71714,12916.2,0,0,3.62116,0.0169579,2.00501,4
127,3.71895,12915.3,0,0,3.56446,0.0171239,2.00509,4
128,3.72075,12915.3,0,0,3.5191,0.0172899,2.00518,4
129,3.72255,12915.9,0,0,3.47791,0.0174547,2.00527,4
130,3.72435,12917.1,0,0,3.44496,0.0176195,2.00535,4
131,3.72615,12918.9,0,0,3.52097,0.0178099,2.00544,4
132,3.72795,12921.1,0,0,3.7313,0.0180376,2.00552,4
133,3.72975,12923.8,0,0,3.75004,0.018228,2.00561,4
134,3.73154,12926.9,0,0,3.76503,0.0184183,2.0057,4
135,3.73334,12930.3,0,0,3.76731,0.0186062,2.00578,4
136,3.73513,12934,0,0,3.73509,0.0187856,2.00587,4
137,3.73693,12938,0,0,3.70931,0.018965,2.00596,4
138,3.73872,12942.3,0,0,3.68382,0.0191431,2.00604,4
139,3.74051,12946.8,0,0,3.66829,0.0193225,2.00613,4
140,3.7423,12951.5,0,0,3.78186,0.0195333,2.00622,4
141,3.74409,12956.4,0,0,3.87271,0.0197441,2.0063,4
142,3.74587,12961.5,0,0,3.9116,0.0199465,2.00639,4
143,3.74766,12966.6,0,0,3.94272,0.0201489,2.00648,4
144,3.74945,12972,0,0,3.9531,0.0203476,2.00656,4
145,3.75123,12977.4,0,0,3.9614,0.0205463,2.00665,4
146,3.75301,12982.9,0,0,3.96805,0.020745,2.00674,4
147,3.7548,12988.6,0,0,3.84197,0.0209108,2.00683,4
148,3.75658,12994.3,0,0,3.78507,0.0210877,2.00691,4
149,3.75836,13000.1,0,0,3.69558,0.0212535,2.007,4
150,3.76014,13006,0,0,3.59459,0.021412,2.00709,4
151,3.76191,13012,0,0,3.51871,0.0215717,2.00718,4
152,3.76369,13018,0,0,3.458,0.0217313,2.00726,4
153,3.76547,13024.1,0,0,3.40943,0.021891,2.00735,4
154,3.76724,13030.3,0,0,3.38039,0.0220531,2.00744,4
155,3.76902,13036.5,0,0,3.35715,0.0222152,2.00753,4
156,3.77079,13042.7,0,0,3.43615,0.0224017,2.00762,4
157,3.77256,13049,0,0,3.44578,0.0225748,2.0077,4
158,3.77433,13055.3,0,0,3.55554,0.0227734,2.00779,4
159,3.7761,13061.5,0,0,3.61914,0.022966,2.00788,4
160,3.77787,13067.8,0,0,3.70391,0.023167,2.00797,4
161,3.77964,13074.1,0,0,3.73783,0.0233595,2.00806,4
162,3.7814,13080.5,0,0,3.79887,0.0235605,2.00815,4
163,3.78317,13086.8,0,0,3.8138,0.023753,2.00823,4
164,3.78493,13093.1,0,0,3.75277,0.0239272,2.00832,4
165,3.78669,13099.4,0,0,3.70395,0.0241014,2.00841,4
166,3.78846,13105.8,0,0,3.67953,0.0242793,2.0085,4
167,3.79022,13112.2,0,0,3.64536,0.0244536,2.00859,4
168,3.79198,13118.5,0,0,3.63265,0.0246314,2.00868,4
169,3.79374,13124.9,0,0,3.63223,0.0248117,2.00877,4
170,3.79549,13131.3,0,0,3.67564,0.0250029,2.00886,4
171,3.79725,13137.7,0,0,3.73459,0.0252002,2.00895,4
172,3.79901,13144,0,0,3.78176,0.0253975,2.00904,4
173,3.80076,13150.4,0,0,3.79526,0.0255887,2.00913,4
174,3.80251,13156.8,0,0,3.83029,0.0257859,2.00922,4
175,3.80427,13163.1,0,0,3.83408,0.0259771,2.00931,4
176,3.80602,13169.5,0,0,3.83712,0.0261682,2.0094,4
177,3.80777,13175.8,0,0,3.86378,0.0263655,2.00949,4
178,3.80952,13182.1,0,0,3.88511,0.0265627,2.00958,4
179,3.81127,13188.5,0,0,3.87794,0.0267538,2.00967,4
180,3.81301,13194.8,0,0,3.89643,0.026951,2.00976,4
181,3.81476,13201.1,0,0,3.86758,0.0271372,2.00985,4
182,3.81651,13207.4,0,0,3.78115,0.0273077,2.00994,4
183,3.81825,13213.8,0,0,3.77535,0.0274939,2.01003,4
184,3.81999,13220.1,0,0,3.87233,0.0277055,2.01012,4
185,3.82173,13226.4,0,0,3.92096,0.0279099,2.01021,4
186,3.82348,13232.7,0,0,3.95987,0.0281143,2.0103,4
187,3.82522,13238.9,0,0,3.99099,0.0283187,2.01039,4
188,3.82695,13245.2,0,0,3.9675,0.0285109,2.01048,4
189,3.82869,13251.5,0,0,3.9487,0.0287032,2.01057,4
190,3.83043,13257.7,0,0,3.93366,0.0288954,2.01066,4
191,3.83216,13264,0,0,3.92163,0.0290876,2.01075,4
192,3.8339,13270.2,0,0,3.91201,0.0292799,2.01084,4
193,3.83563,13276.5,0,0,3.90431,0.0294721,2.01093,4
194,3.83737,13282.7,0,0,3.89815,0.0296643,2.01103,4
195,3.8391,13289,0,0,3.87381,0.0298516,2.01112,4
196,3.84083,13295.2,0,0,3.85434,0.030039,2.01121,4
197,3.84256,13301.5,0,0,3.83876,0.0302263,2.0113,4
198,3.84429,13307.7,0,0,3.82629,0.0304136,2.01139,4
199,3.84601,13313.9,0,0,3.80174,0.0305972,2.01148,4
200,3.84774,13320.1,0,0,3.7821,0.0307809,2.01158,4
201,3.84947,13326.4,0,0,3.76639,0.0309645,2.01167,4
202,3.85119,13332.6,0,0,3.71973,0.0311396,2.01176,4
203,3.85291,13338.8,0,0,3.71649,0.0313233,2.01185,4
204,3.85464,13345,0,0,3.76243,0.031519,2.01194,4
205,3.85636,13351.3,0,0,3.79919,0.0317147,2.01204,4
206,3.85808,13357.5,0,0,3.80435,0.0319044,2.01213,4
207,3.8598,13363.6,0,0,3.80848,0.0320941,2.01222,4
208,3.86152,13369.8,0,0,3.81178,0.0322837,2.01231,4
209,3.86323,13376,0,0,3.81443,0.0324733,2.0124,4
210,3.86495,13382.2,0,0,3.85047,0.0326714,2.0125,4
211,3.86666,13388.3,0,0,3.8793,0.0328695,2.01259,4
212,3.86838,13394.5,0,0,3.90236,0.0330676,2.01268,4
213,3.87009,13400.6,0,0,3.92081,0.0332657,2.01278,4
214,3.8718,13406.8,0,0,3.93073,0.0334626,2.01287,4
215,3.87351,13412.9,0,0,3.85608,0.0336388,2.01296,4
216,3.87522,13419,0,0,3.79636,0.033815,2.01305,4
217,3.87693,13425.2,0,0,3.74858,0.0339911,2.01315,4
218,3.87864,13431.3,0,0,3.77841,0.0341843,2.01324,4
219,3.88035,13437.4,0,0,3.83617,0.034386,2.01333,4
220,3.88205,13443.5,0,0,3.8872,0.0345888,2.01343,4
221,3.88376,13449.6,0,0,3.92803,0.0347917,2.01352,4
222,3.88546,13455.7,0,0,3.98,0.0349993,2.01361,4
223,3.88717,13461.7,0,0,4.00227,0.0352021,2.01371,4
224,3.88887,13467.8,0,0,4.02009,0.0354049,2.0138,4
225,3.89057,13473.9,0,0,4.01499,0.0356029,2.0139,4
226,3.89227,13479.9,0,0,4.03026,0.0358057,2.01399,4
227,3.89397,13485.9,0,0,4.04248,0.0360085,2.01408,4
228,3.89567,13491.9,0,0,4.05225,0.0362112,2.01418,4
229,3.89736,13498,0,0,4.06007,0.036414,2.01427,4
230,3.89906,13503.9,0,0,4.11455,0.0366288,2.01437,4
231,3.90075,13509.9,0,0,4.15813,0.0368436,2.01446,4
232,3.90245,13515.9,0,0,4.13027,0.0370427,2.01455,4
233,3.90414,13521.9,0,0,4.0983,0.0372394,2.01465,4
234,3.90583,13527.9,0,0,3.94617,0.0374044,2.01474,4
235,3.90752,13533.9,0,0,3.76558,0.0375547,2.01484,4
236,3.90921,13539.9,0,0,3.62111,0.0377049,2.01493,4
237,3.9109,13545.9,0,0,3.50554,0.0378552,2.01503,4
238,3.91259,13552,0,0,3.49641,0.0380263,2.01512,4
239,3.91427,13558,0,0,3.50862,0.0382023,2.01522,4
240,3.91596,13564.1,0,0,3.59613,0.0383977,2.01531,4
241,3.91765,13570.1,0,0,3.66615,0.0385931,2.01541,4
242,3.91933,13576.1,0,0,3.72216,0.0387885,2.0155,4
243,3.92101,13582.1,0,0,3.76697,0.0389838,2.0156,4
244,3.92269,13588.1,0,0,3.68111,0.0391488,2.01569,4
245,3.92437,13594.1,0,0,3.61241,0.0393137,2.01579,4
246,3.92605,13600.1,0,0,3.67433,0.0395078,2.01588,4
247,3.92773,13606,0,0,3.68989,0.0396935,2.01598,4
248,3.92941,13612,0,0,3.73631,0.0398876,2.01608,4
249,3.93109,13618,0,0,3.77829,0.0400829,2.01617,4
250,3.93276,13623.9,0,0,3.81187,0.0402782,2.01627,4
251,3.93444,13629.9,0,0,3.83874,0.0404735,2.01636,4
252,3.93611,13635.8,0,0,3.86023,0.0406688,2.01646,4
253,3.93778,13641.7,0,0,3.87743,0.0408641,2.01655,4
254,3.93946,13647.6,0,0,3.88634,0.0410581,2.01665,4
255,3.94113,13653.5,0,0,3.87407,0.0412473,2.01675,4
256,3.9428,13659.4,0,0,3.85455,0.0414341,2.01684,4
257,3.94446,13665.3,0,0,3.83893,0.0416208,2.01694,4
258,3.94613,13671.2,0,0,3.82643,0.0418076,2.01704,4
259,3.9478,13677.1,0,0,3.78238,0.0419858,2.01713,4
260,3.94946,13683,0,0,3.74714,0.042164,2.01723,4
261,3.95113,13688.9,0,0,3.76272,0.0423531,2.01733,4
262,3.95279,13694.8,0,0,3.77517,0.0425423,2.01742,4
263,3.95446,13700.7,0,0,3.78514,0.0427314,2.01752,4
264,3.95612,13706.5,0,0,3.79311,0.0429205,2.01762,4
265,3.95778,13712.4,0,0,3.90098,0.043135,2.01771,4
266,3.95944,13718.2,0,0,3.98727,0.0433494,2.01781,4
267,3.9611,13724,0,0,3.84266,0.0435105,2.01791,4
268,3.96275,13729.9,0,0,3.72696,0.0436715,2.018,4
269,3.96441,13735.7,0,0,3.71255,0.0438521,2.0181,4
270,3.96607,13741.6,0,0,3.70101,0.0440326,2.0182,4
271,3.96772,13747.4,0,0,3.7549,0.0442289,2.0183,4
272,3.96938,13753.2,0,0,3.81735,0.0444301,2.01839,4
273,3.97103,13759,0,0,3.87698,0.0446336,2.01849,4
274,3.97268,13764.8,0,0,3.92469,0.0448372,2.01859,4
275,3.97433,13770.6,0,0,3.96285,0.0450407,2.01869,4
276,3.97598,13776.4,0,0,3.99338,0.0452442,2.01878,4
277,3.97763,13782.1,0,0,4.0178,0.0454478,2.01888,4
278,3.97928,13787.9,0,0,4.03251,0.0456501,2.01898,4
279,3.98093,13793.6,0,0,4.02493,0.0458475,2.01908,4
280,3.98257,13799.3,0,0,4.01887,0.0460449,2.01918,4
281,3.98422,13805,0,0,4.01402,0.0462424,2.01927,4
282,3.98586,13810.8,0,0,3.99077,0.0464349,2.01937,4
283,3.9875,13816.5,0,0,3.93332,0.0466178,2.01947,4
284,3.98915,13822.2,0,0,3.88737,0.0468006,2.01957,4
285,3.99079,13827.9,0,0,3.90398,0.0469968,2.01967,4
286,3.99243,13833.6,0,0,3.86875,0.0471809,2.01977,4
287,3.99407,13839.3,0,0,3.84543,0.0473661,2.01987,4
288,3.9957,13845.1,0,0,3.87043,0.0475623,2.01996,4
289,3.99734,13850.7,0,0,3.91461,0.0477645,2.02006,4
290,3.99898,13856.4,0,0,3.94996,0.0479666,2.02016,4
291,4.00061,13862.1,0,0,3.97823,0.0481688,2.02026,4
292,4.00225,13867.8,0,0,4.03463,0.0483794,2.02036,4
293,4.00388,13873.4,0,0,4.08457,0.0485912,2.02046,4
294,4.00551,13879,0,0,4.1197,0.0488018,2.02056,4
295,4.00714,13884.6,0,0,4.15262,0.0490136,2.02066,4
296,4.00877,13890.3,0,0,4.19821,0.0492301,2.02076,4
297,4.0104,13895.8,0,0,4.23468,0.0494467,2.02086,4
298,4.01203,13901.4,0,0,4.24461,0.0496584,2.02096,4
299,4.01366,13907,0,0,4.25255,0.0498702,2.02106,4
300,4.01529,13912.6,0,0,4.22997,0.0500747,2.02116,4
301,4.01691,13918.1,0,0,4.11495,0.0502549,2.02126,4
302,4.01854,13923.7,0,0,4.02294,0.0504351,2.02135,4
303,4.02016,13929.3,0,0,4.04628,0.0506396,2.02145,4
304,4.02178,13934.8,0,0,4.12755,0.0508597,2.02155,4
305,4.0234,13940.4,0,0,4.19258,0.0510798,2.02165,4
306,4.02503,13945.9,0,0,4.24459,0.0512999,2.02175,4
307,4.02665,13951.4,0,0,4.28621,0.0515199,2.02186,4
308,4.02826,13956.9,0,0,4.30027,0.0517352,2.02196,4
309,4.02988,13962.4,0,0,4.25848,0.0519372,2.02206,4
310,4.0315,13967.9,0,0,4.22505,0.0521391,2.02216,4
311,4.03311,13973.4,0,0,4.19348,0.0523399,2.02226,4
312,4.03473,13978.9,0,0,4.16822,0.0525406,2.02236,4
313,4.03634,13984.4,0,0,4.14801,0.0527414,2.02246,4
314,4.03796,13989.9,0,0,4.13185,0.0529421,2.02256,4
315,4.03957,13995.4,0,0,4.23438,0.0531717,2.02266,4
316,4.04118,14000.8,0,0,4.3164,0.0534012,2.02276,4
317,4.04279,14006.3,0,0,4.26656,0.0536019,2.02286,4
318,4.0444,14011.7,0,0,4.30378,0.0538219,2.02296,4
319,4.04601,14017.1,0,0,4.24195,0.0540189,2.02306,4
320,4.04762,14022.6,0,0,4.19248,0.054216,2.02316,4
321,4.04922,14028,0,0,4.2301,0.0544323,2.02327,4
322,4.05083,14033.4,0,0,4.26019,0.0546486,2.02337,4
323,4.05243,14038.9,0,0,4.19255,0.0548419,2.02347,4
324,4.05403,14044.3,0,0,4.13359,0.0550341,2.02357,4
325,4.05564,14049.7,0,0,4.08157,0.055225,2.02367,4
326,4.05724,14055.1,0,0,4.03026,0.0554135,2.02377,4
327,4.05884,14060.6,0,0,3.98921,0.055602,2.02387,4
328,4.06044,14066,0,0,3.92721,0.0557832,2.02398,4
329,4.06204,14071.5,0,0,3.87761,0.0559643,2.02408,4
330,4.06364,14076.9,0,0,3.83793,0.0561455,2.02418,4
331,4.06523,14082.4,0,0,3.80619,0.0563266,2.02428,4
332,4.06683,14087.8,0,0,3.83904,0.0565224,2.02438,4
333,4.06842,14093.3,0,0,3.90398,0.0567277,2.02449,4
334,4.07002,14098.7,0,0,3.95594,0.0569331,2.02459,4
335,4.07161,14104.1,0,0,3.99751,0.0571384,2.02469,4
336,4.0732,14109.5,0,0,4.03076,0.0573437,2.02479,4
337,4.07479,14114.9,0,0,4.04771,0.0575466,2.0249,4
338,4.07638,14120.3,0,0,4.06127,0.0577495,2.025,4
339,4.07797,14125.7,0,0,4.06245,0.05795,2.0251,4
340,4.07956,14131,0,0,4.0634,0.0581505,2.0252,4
341,4.08115,14136.4,0,0,3.96221,0.0583254,2.02531,4
342,4.08274,14141.8,0,0,3.88126,0.0585004,2.02541,4
343,4.08432,14147.2,0,0,3.8165,0.0586754,2.02551,4
344,4.08591,14152.6,0,0,3.81334,0.0588625,2.02562,4
345,4.08749,14158,0,0,3.81082,0.0590495,2.02572,4
346,4.08907,14163.4,0,0,3.89106,0.0592572,2.02582,4
347,4.09065,14168.8,0,0,3.95525,0.0594648,2.02592,4
348,4.09224,14174.1,0,0,4.00661,0.0596725,2.02603,4
349,4.09382,14179.5,0,0,3.99453,0.0598668,2.02613,4
350,4.09539,14184.8,0,0,4.02838,0.060072,2.02623,4
351,4.09697,14190.1,0,0,4.05546,0.0602772,2.02634,4
352,4.09855,14195.4,0,0,4.11567,0.060492,2.02644,4
353,4.10013,14200.7,0,0,4.12529,0.0606971,2.02655,4
354,4.1017,14206,0,0,4.13299,0.0609023,2.02665,4
355,4.10328,14211.3,0,0,4.13432,0.0611062,2.02675,4
356,4.10485,14216.6,0,0,4.10638,0.0613029,2.02686,4
357,4.10642,14221.9,0,0,4.08403,0.0614996,2.02696,4
358,4.10799,14227.2,0,0,4.09515,0.0617035,2.02706,4
359,4.10956,14232.4,0,0,4.19544,0.0619302,2.02717,4
360,4.11113,14237.7,0,0,4.27567,0.062157,2.02727,4
361,4.1127,14242.9,0,0,4.33986,0.0623837,2.02738,4
362,4.11427,14248.1,0,0,4.41993,0.0626176,2.02748,4
363,4.11584,14253.3,0,0,4.3928,0.0628287,2.02759,4
364,4.1174,14258.4,0,0,4.3711,0.0630397,2.02769,4
365,4.11897,14263.6,0,0,4.35375,0.0632508,2.02779,4
366,4.12053,14268.8,0,0,4.33986,0.0634618,2.0279,4
367,4.12209,14274,0,0,4.32875,0.0636729,2.028,4
368,4.12366,14279.1,0,0,4.34392,0.0638899,2.02811,4
369,4.12522,14284.3,0,0,4.26922,0.0640853,2.02821,4
370,4.12678,14289.5,0,0,4.27224,0.0642963,2.02832,4
371,4.12834,14294.6,0,0,4.27465,0.0645073,2.02842,4
372,4.1299,14299.8,0,0,4.27658,0.0647183,2.02853,4
373,4.13145,14304.9,0,0,4.27813,0.0649292,2.02863,4
374,4.13301,14310,0,0,4.27937,0.0651402,2.02874,4
375,4.13457,14315.2,0,0,4.15447,0.0653197,2.02884,4
376,4.13612,14320.3,0,0,4.2381,0.0655451,2.02895,4
377,4.13768,14325.4,0,0,4.23288,0.0657524,2.02905,4
378,4.13923,14330.6,0,0,4.21424,0.0659561,2.02916,4
379,4.14078,14335.7,0,0,4.19932,0.0661598,2.02927,4
380,4.14233,14340.8,0,0,4.20186,0.0663671,2.02937,4
381,4.14388,14345.9,0,0,4.18941,0.0665707,2.02948,4
382,4.14543,14351,0,0,4.16497,0.0667707,2.02958,4
383,4.14698,14356.2,0,0,4.14541,0.0669708,2.02969,4
384,4.14853,14361.3,0,0,4.13943,0.0671732,2.02979,4
385,4.15007,14366.4,0,0,4.13464,0.0673756,2.0299,4
386,4.15162,14371.5,0,0,4.13081,0.067578,2.03001,4
387,4.15316,14376.6,0,0,4.15188,0.0677864,2.03011,4
388,4.15471,14381.6,0,0,4.23603,0.0680117,2.03022,4
389,4.15625,14386.7,0,0,4.29855,0.0682357,2.03033,4
390,4.15779,14391.8,0,0,4.28607,0.0684441,2.03043,4
391,4.15933,14396.8,0,0,4.27608,0.0686525,2.03054,4
392,4.16087,14401.9,0,0,4.24396,0.0688548,2.03064,4
393,4.16241,14406.9,0,0,4.21827,0.0690572,2.03075,4
394,4.16395,14412,0,0,4.16386,0.069251,2.03086,4
395,4.16549,14417,0,0,4.04258,0.0694254,2.03096,4
396,4.16703,14422.1,0,0,4.0233,0.0696193,2.03107,4
397,4.16856,14427.2,0,0,4.00788,0.0698131,2.03118,4
398,4.1701,14432.2,0,0,3.99555,0.0700069,2.03128,4
399,4.17163,14437.3,0,0,4.0533,0.0702176,2.03139,4
400,4.17316,14442.3,0,0,4.14757,0.0704404,2.0315,4
401,4.1747,14447.3,0,0,4.22299,0.0706631,2.03161,4
402,4.17623,14452.4,0,0,4.28333,0.0708858,2.03171,4
403,4.17776,14457.4,0,0,4.29315,0.0710988,2.03182,4
404,4.17929,14462.3,0,0,4.30101,0.0713119,2.03193,4
405,4.18082,14467.3,0,0,4.28322,0.071519,2.03204,4
406,4.18234,14472.3,0,0,4.23517,0.0717175,2.03214,4
407,4.18387,14477.3,0,0,4.19674,0.0719161,2.03225,4
408,4.1854,14482.3,0,0,4.12239,0.0721037,2.03236,4
409,4.18692,14487.3,0,0,4.06291,0.0722914,2.03247,4
410,4.18844,14492.3,0,0,4.01533,0.072479,2.03257,4
411,4.18997,14497.3,0,0,4.03053,0.07268,2.03268,4
412,4.19149,14502.3,0,0,4.05718,0.0728845,2.03279,4
413,4.19301,14507.2,0,0,4.0785,0.0730891,2.0329,4
414,4.19453,14512.2,0,0,4.09556,0.0732936,2.033,4
415,4.19605,14517.2,0,0,4.1092,0.0734981,2.03311,4
