time,temp,est,door,compressor
1,2.00034,86400,1,0
2,2.15057,2462.1,1,0
3,2.05047,7897.36,1,0
4,2.00034,86400,1,0
5,2.27543,1258.35,1,0
6,2.30038,1141.95,1,0
7,2.3253,1043.08,1,0
8,2.3253,1048.33,1,0
9,2.44976,700.897,1,0
10,2.47462,656.071,1,0
11,2.57393,380.628,0,0
12,2.42489,576.054,0,0
13,2.27543,1000.18,0,0
14,2.54912,409.832,0,0
15,2.59873,363.658,0,0
16,2.44976,545.701,0,0
17,2.54912,415.843,0,0
18,2.35022,768.929,0,0
19,2.44976,553.965,0,0
20,2.47462,517.048,0,0
21,2.57393,396.404,0,0
22,2.40001,661.133,0,0
23,2.57393,399.748,0,0
24,2.52429,458.48,0,0
25,2.54912,430.774,0,0
26,2.35022,814.615,0,0
27,2.42489,626.799,0,0
28,2.49946,500.595,0,0
29,2.35022,830.058,0,0
30,2.59873,385.557,0,0
31,2.57393,413.25,0,0
32,2.57393,415.326,0,0
33,2.49946,513.885,0,0
34,2.49946,516.468,0,0
35,2.6483,348.097,0,0
36,2.37512,795.539,0,0
37,2.3253,985.022,0,0
38,2.44976,614.839,0,0
39,2.47462,570.345,0,0
40,2.40001,739.45,0,0
41,2.52429,494.955,0,0
42,2.72256,297.884,0,0
43,2.57393,435.303,0,0
44,2.40001,761.824,0,0
45,2.54912,470.493,0,0
46,2.62352,386.18,0,0
47,2.40001,778.029,0,0
48,2.54912,477.228,0,0
49,2.52429,516.064,0,0
50,2.52429,518.657,0,0
51,2.52429,521.263,0,0
52,2.54912,486.49,0,0
53,2.42489,736.288,0,0
54,2.57393,456.759,0,0
55,2.77202,277.375,0,0
56,2.47462,629.722,0,0
57,2.52429,538.304,0,0
58,2.37512,937.518,0,0
59,2.57393,467.576,0,0
60,2.67307,359.059,0,0
61,2.49946,595.514,0,0
62,2.57393,474.788,0,0
63,2.57393,477.174,0,0
64,2.72256,322.218,0,0
65,2.35022,1128.15,0,0
66,2.82143,256.405,0,0
67,2.57393,487.793,0,0
68,2.67307,371.71,0,0
69,2.6483,399.103,0,0
70,2.72256,330.514,0,0
71,2.54912,539.486,0,0
72,2.79673,278.105,0,0
73,2.57393,505.751,0,0
74,2.67307,382.785,0,0
75,2.54912,553.167,0,0
76,2.6483,413.243,0,0
77,2.67307,388.024,0,0
78,2.54912,563.166,0,0
79,2.82143,269.151,0,0
80,2.57393,526.821,0,0
81,2.62352,455.184,0,0
82,2.6483,425.856,0,0
83,2.62352,459.898,0,0
84,2.72256,351.105,0,0
85,2.6483,432.537,0,0
86,2.72256,354.4,0,0
87,2.69782,380.584,0,0
88,2.44976,885.505,0,0
89,2.54912,603.445,0,0
90,2.35022,1547.21,0,0
91,2.6483,443.444,0,0
92,2.59873,518.507,0,0
93,2.7473,340.462,0,0
94,2.69782,390.908,0,0
95,2.89547,238.449,0,0
96,2.72256,369.596,0,0
97,2.67307,426.796,0,0
98,2.6483,461.584,0,0
99,2.79673,308.27,0,0
