time,temp,est,door,compressor
212,3.01864,498.943,0,0
213,2.79673,842.107,0,0
214,2.84612,734.692,0,0
215,2.84612,738.384,0,0
216,2.9694,556.885,0,0
217,2.92012,622.052,0,0
218,3.06784,468.044,0,0
219,3.01864,513.61,0,0
220,2.9694,568.741,0,0
221,2.67307,1487.66,0,0
222,2.99403,544.769,0,0
223,2.9694,575.726,0,0
224,3.11699,441.54,0,0
225,2.8708,736.12,0,0
226,2.99403,555.66,0,0
227,3.04324,507.723,0,0
228,2.9694,591.264,0,0
229,3.04324,512.486,0,0
230,3.06784,492.382,0,0
231,2.9694,601.351,0,0
232,2.84612,828.882,0,0
233,2.77202,1074.08,0,0
234,2.7473,1195.47,0,0
235,2.79673,988.124,0,0
236,2.8708,783.562,0,0
237,2.89547,735.554,0,0
238,2.9694,616.713,0,0
239,2.99403,587.228,0,0
240,3.04324,533.812,0,0
241,2.84612,871.576,0,0
242,2.99403,595.487,0,0
243,2.77202,1157.64,0,0
244,2.8708,820.611,0,0
245,2.99403,602.232,0,0
246,2.99403,605.258,0,0
247,2.9694,643.334,0,0
248,3.01864,579.499,0,0
249,2.99403,614.43,0,0
250,2.99403,617.517,0,0
251,3.01864,587.97,0,0
252,2.99403,623.913,0,0
253,3.09242,512.172,0,0
254,2.9694,668.678,0,0
255,2.92012,764.019,0,0
256,2.94477,718.432,0,0
257,3.14155,476.115,0,0
258,3.01864,608.642,0,0
259,2.94477,731.934,0,0
260,2.79673,1217.67,0,0
261,2.99403,651.731,0,0
262,3.19064,446.138,0,0
263,3.23969,415.188,0,0
264,2.82143,1141.54,0,0
265,3.11699,513.849,0,0
266,2.89547,884.141,0,0
267,2.82143,1167.89,0,0
268,2.9694,719.485,0,0
269,3.1661,476.643,0,0
270,3.06784,577.931,0,0
271,3.04324,612.658,0,0
272,3.14155,504.679,0,0
273,3.09242,557.743,0,0
274,3.19064,467.063,0,0
275,2.9694,754.117,0,0
276,3.09242,566.046,0,0
277,3.1661,493.666,0,0
278,3.06784,603.017,0,0
279,3.04324,640.775,0,0
280,2.89547,984.65,0,0
281,3.28869,409.835,0,0
282,2.94477,849.226,0,0
283,3.01864,694.348,0,0
284,3.06784,620.399,0,0
